267,【礁溪川湯春天旗艦館】雙人早晚餐或四人家庭房含早餐,107,59,5999,"【費用包含】
1.礁溪川湯旗艦館平日入住二選一：
A.春天雙人客房住宿一晚(含2人早餐+晚餐) 或
B.春天家庭客房住宿一晚(含4人早餐)
2.飯店設施免費使用:SPA按摩池/風呂設施/檜木烤箱/•蒸氣室/顏之泉/石板床/兒童戲水區/CARS卡茲童樂園/卡茲童賽車場/健身房...等
3.免費停車.飯店至礁溪火車站/礁溪轉運站免費接駁(提前預約)
4.120公分以下兒童不佔床免費,限2名

【其他注意事項】
1.優惠期限至:無使用期限
2.不適用日期:農曆春節期間(依飯店公告為主)不適用
3.持券選擇平日入住春天家庭房,欲升等童樂主題房每房需加收650元,平原景觀房加價800元"
268,【墾丁怡灣渡假酒店】雙人入住菁英客房一泊一食(含三合一設施券),108,59,3100,"【專案包含】
1. 入住菁英客房一晚
2. 0-6歲免費入住
3.含早餐
4.含三合一設施券"
269,【遠雄悅來大飯店】超級快閃!海洋篇★買2大送1小11歲、含早餐+遠雄海洋公園門票,109,59,6999,"◆本券可兌換方案:【遠雄悅來大飯店】99狂購節超級快閃!海洋篇★買2大送1小11歲、含早餐+遠雄海洋公園門票
◆本券可兌換方案：
1. 平日入住「精緻山景客房」住宿*1晚，含翌日早餐2客、含遠雄海洋公園門票2張(限定住宿期間暢遊)。
(床型依照入住人數安排、或有特殊需求請致電向飯店訂房組需求，需求不保證)
2.特別加贈1位11歲(含.以下)孩童入住，免加人加價，並贈送翌日早餐1客、含遠雄海洋公園門票1張(限定住宿期間暢遊)。
若不使用此贈送，恕無法折抵任何金額及商品。
3.由「精緻山景客房」升等「豪華海景客房」＋$650/間/晚，可於訂房時需求，於飯店現場支付房差費用。
"
270,【溪頭明山妖怪村主題飯店】枯麻/百老匯館雙人含早餐,110,59,3099,"【費用包含】
1、住宿：枯麻館或百老匯館-主題二人房-平日住宿1晚(二大床/約12坪，館別與房間依飯店實際安排 為主，無法指定。密室逃脫房與特殊房型不適用)。
2、餐食：中西式自助早餐2客。
3、票券：日月潭和果森林紅茶莊園體驗券2張(紅茶試喝/茶包兌換/消費優惠)、埔里豐年菇類農場體驗券2張(導覽解說/消費優惠)，於飯店領券。
4、設施：停車場(房客免費)、妖怪園區(免門票)、兒童遊戲室、乾溼分離衛浴、RO逆滲透山泉水、WiFi…等。"
271,【瑞穗天合國際觀光酒店】平旺日城堡精緻客房雙人一泊二食住宿卷1張,111,59,12300,"此為紙卷
※商品到貨享十天猶豫期之權益（注意！猶豫期非試用期），商品退貨時必須回復原狀，
票券若已拆封有短缺、損毀或贈品已逾期、使用效期快到(廠商定義)等，本公司無法接受退換貨。
※超過鑑賞期退票需收手續費(面額金額*3%)(無面額依銷售金額*3%)，請購買前三思。"
272,【南投埔里-歐莉葉荷城堡】2人平日住宿券,112,60,4500,"使用方式:
1.本券可2人入住歐莉葉荷城堡以下房型(擇1)乙晚，不含早餐。
維多利亞城堡：仙度拉公主/ 愛麗絲公主
伊莉莎白城堡Ⅱ：芳堤娜公爵夫人
※因各房型僅有乙間，入住以現場房況為主，恕無法指定房型。
2.本券限平日(週日~週四)使用，假日(週五、週六) 需加價$1000，農曆春節期間和連續假期不得使用。(平、假日及暑假定義依飯店公告為主)
3.本券須提前7天前完成預約，預約電話：(049)2993636，預約時間為08:30~17:30。電話訂房時需預付訂金$1000，入住時全額還款，或選擇加LINE訂房，LINE ID:0492993636
4.如欲升等房型使用須於現場加價使用。每房最多加1人(含兒童)。每位成人加價$1500/房(無早餐及備品，無提供加床服務)，每位兒童加價$500/房(無早餐及備品，無提供加床服務)。成人定義：140公分以上視同成人，未滿140公分為兒童。
5.本券入住時間：15:00;退房時間：隔日11:00以前。
6.本券恕無法與其他優惠及專案合併使用。"
273,【清境福爾摩莎時尚會館】精緻浪漫雙人房含早-買1晚送1晚(送合歡山/大禹嶺高山茶包),113,60,5199,"【費用包含】
1、住宿：精緻浪漫雙人房-平日住宿1晚(1大床/約9坪)。
2、餐食：中式自助早餐2客。
3、票券：埔里豐年菇類農場體驗券2張(導覽解說/消費優惠)、日月潭和果森林紅茶莊園體驗券2張(茶包兌換/消費優惠)，於民宿領券。
4、設施：免費停車場、泡茶區…等。"
274,【墾丁优閒民宿】四人家庭房三天兩夜含早餐專案(CP值超高特色風格民宿),114,60,3280,"☆專案內容☆
1. 墾丁优閒民宿四人家庭房含早餐三天兩夜專案*乙間(四人入住)
2. 早餐4客
3. 住宿期間免費贈送專屬停車位
4. *假日每日限量1間，限量間數使用完畢即不再接受專案訂房，敬請儘早訂房。

☆加贈☆熱情的小管家服務"
275,【墾丁禾金豐旅店】雙人買一晚送一晚(平日限量升等四人房),115,60,2599,"【費用包含】
1、住宿：主題雙人房-平日住宿1晚(1大床，館別與房間依民宿安排，恕不接受指定)。
2、餐食：早餐兌換券2張。
3、設施：客房備品(茶包/礦泉水/沐浴乳/洗髮乳)、電視、獨立空調、WiFi…等(民宿無提供停車位，但附近路邊可停車)。

【贈品】
◆送-主題雙人房平日住宿1晚(內容與規定皆同主商品。住宿可三天二夜連住或同天開二間房，須一次使用完)。
◆平日限量升等四人房(2大床)，第3、4人不含早餐券，若升等完以原房型為主。"
276,【高雄遠山望月】★2大2小一泊二食★豪華湯屋狩獵帳,116,60,4599,"【購券後訂房規範，請依飯店告知辦理】
1.本券包含住一晚豪華湯屋狩獵帳，兩人份早餐、晚餐。【獨家:本券5-9月週日至週五，無須加價使用】
2.如攜帶小孩12歲以下兩位可加贈自助式早餐，晚餐加量給予。
3.晚餐為BBQ或火鍋二擇一 (為提倡環保不浪費原則，晚餐足量提供,實際菜色請依現場提供無主)。
4.園區加贈 日式和服體驗活動 乙份。(園區保有活動變更權力)
備註:可以現場加購$1000元/人- 冒險探索園區全套設施
5.園區大眾美人湯溫泉，住宿期間可無限次使用。
6.園區約5.2公頃，青草樹木，環境幽雅。每房獨立露台或庭院可以用餐。
7.現場加價$1500入住頂級豪華villa湯屋營車 (2021年3月全新建置)。
8.豪華狩獵帳整個區域平台，含露台約有15坪。VILLA營車含私人停車位約有25-30坪。
9.早餐/晚餐的地點與時間：
早餐為8:00-10:00，防疫期間房客可選擇於餐廳使用或外帶回房間用餐。
晚餐為17:30-19:00，送至房間內使用。
10.本券加價規定:
【5~9月】週六假日+$1000，連續假+$1500，
【10~12月】平日加$600，週日、週五、連假前一天為旺日加$800，週六假日+$1600，連續假+$2600，
11.優惠期限至2022年12月30日止，逾期未兌換可至原購買通路辦理退費。"
277,【VIVISPA】美魔女循環緊緻曲線護理130分,117,62,799,"【兌換方式& 規定】
◎ 是否需預約：
【使用注意事項】
◎ 不得與其他優惠合併使用，恕無法兌換現金及找零
◎ 請持手機簡訊或列印e-mail兌換券到店使用
◎ 兌換券逾期未使用，可辦理退費。
以上規範如與兌換券不同，則依兌換券為準。"
278,【悅禾莊園Spa】嚴選★芳療油壓課程-1小時,118,62,1900,"【兌換方式＆規定】
◆請至少於一週前先行以電話預約，並告知使用Momo憑證，實際預約情況視店家當天預約情況為主
◆逾時15分鐘視同取消該次預約，敬請配合，恕不接受現場直接預約
◆平假日皆可使用(春節營業時間將另行公告)，不分男女皆可使用，可指定芳療師，可跨店使用
◆每張票券限一人使用，恕無法與他人併用
◆請持手機簡訊或列印email兌換券到店使用，如非本人到店消費，需留親筆簽名，以示消費此兌換券
◆電子票券逾期未使用，可向momo辦理退費
◆本賣場票券經使用後即時註銷，任意重製、塗改、影印、複製等違法行為，一經查獲必移送法辦
◆本公司保留本賣場修改、變更及終止本活動之權利，不得與其他優惠合併使用，恕無法兌換現金及找零"
279,【On-Spa】北部-全程不推銷+不限使用張數「智慧曲雕魔提仙塑」120分鐘,119,62,888,"♛三大保證♛ ✔全程不推銷 ✔不限使用張數 ✔滿時數不重疊 
1.讓妳輕鬆享受喜歡的課程，不用害怕被推銷，因為這檔『全程不推銷』。
2.滿意此課程可再回購，不用擔心買過多課程，因為這檔『不限使用張數』。
3.完整120分鐘課程，不用怕店家流程重疊時間做，因為這檔『滿時數不重疊』。

/課程特色/
►1次有感！媲美LPG高科技智慧曲雕➟把全身肥肉通通鏟走！
►完整三大課程『全身完整雕瘦+無死角美白+爆汗岩盤浴』。
►北部6店任選．板橋、中山、蘆洲、大同區、桃園區一起幫妳雕塑！"
280,【On-Spa】天使魔提智慧曲雕消橘皮 2次共260分鐘,119,62,999,"★１次就有感！高科技智慧曲雕?把全身肥肉通通鏟走！

1.課程前量身檢測
2.更換專屬天使塑身衣
3.全身天使魔提智慧曲雕 40分
4.晶砂巧克力纖體去角質 30分(全身正反面)
5.頭肩頸手技紓壓按摩 20分
6.美人爆汗岩盤浴 40分

--單次共130分鐘--每人可享2次=共260分鐘
部位不用選！全身通通瘦．嫩．白！"
281,天然沐．汗蒸 單人獨享特惠VIP+贈100元汗蒸抵用券,120,62,495,"汗蒸為一種「出汗排毒」的熱療原理
藉由汗液將體內的有害毒素－乳酸、尿素及氨排出體外
進而加速身體循環，有效代謝廢物、調節體溫及消耗熱量
為韓國最夯的全民運動養生法


汗蒸為熱療與保健養生
身體天生就有自我療癒的能力
只是在緊湊生活中及壓力下難以放鬆
久未舒解的壓力體內容易累積毒素導致生病
來到「天然沐汗蒸」進行「心」的療癒
放鬆身體、放下雜念~讓「心」完完全全靜下來
放鬆身心靈達到心靜並好好享受大量排汗的舒暢感"
